start_station_name,Avg_ride_length,Avg_ride_length_Casual,Avg_ride_length_Member,Casual_riders,Member_riders,Electric_bike_riders,Classic_bike_riders,Total_riders
Elizabeth St & 59th St,15.205092592592592,16.825000000000003,14.582051282051284,10,26,34,2,36
Public Rack - Laramie Ave & Grand Ave,15.774999999999999,11.070833333333333,18.127083333333335,12,24,36,0,36
La Villita Park,21.034285714285712,21.414743589743587,19.935185185185183,26,9,16,19,35
Weekend Night Parking Area C,10.255714285714285,10.315476190476188,10.215873015873017,14,21,35,0,35
Kildare & Cermak,10.761904761904761,8.1631313131313128,53.641666666666666,33,2,35,0,35
Public Rack - Kedzie Ave & 60th St,7.68952380952381,3.9083333333333332,7.9186868686868683,2,33,35,0,35
Lavergne Ave & 46th St,14.994761904761905,15.402222222222225,12.55,30,5,35,0,35
Pulaski Rd & 84th St,37.77809523809524,38.320588235294132,19.333333333333332,34,1,5,30,35
Knox Ave & Marquette Ave,22.824019607843137,23.767708333333328,7.725,32,2,17,17,34
Public Rack - Martin Luther King Dr & 44th St,14.742647058823531,14.416666666666666,15.06862745098039,17,17,34,0,34
Public Rack - Lockwood & Archer,9.9102941176470587,9.19469696969697,11.222222222222223,22,12,34,0,34
Racine Ave & 61st St,18.689215686274508,18.898850574712643,17.473333333333333,29,5,7,27,34
Columbus Ave & 79th St,20.000980392156862,18.388095238095236,27.527777777777779,28,6,23,11,34
Parkside Ave & Armitage Ave,22.456862745098039,22.445512820512818,22.49375,26,8,15,19,34
Komensky Ave & 47th St,11.514215686274509,16.699074074074073,5.68125,18,16,18,16,34
Halsted St & 59th St,35.539705882352941,45.421052631578952,23.02333333333333,19,15,15,19,34
Public Rack - N. Oakview and W. Gregory St,12.952450980392154,13.648039215686275,12.25686274509804,17,17,34,0,34
Public Rack - California Ave & Touhy Ave - NW,11.216161616161616,8.93,12.210144927536231,10,23,33,0,33
Pine Ave & Division St,27.686363636363637,29.20961538461539,22.028571428571428,26,7,14,19,33
Public Rack - Kilpatrick & Elston,16.057575757575759,11.897916666666667,17.388666666666666,8,25,33,0,33
Public Rack - Cicero Ave & Belle Plaine Ave,10.303535353535352,5.4363636363636365,12.737121212121213,11,22,33,0,33
Torrence Ave & 106th St,38.083333333333336,43.365079365079367,28.840277777777775,21,12,14,19,33
Kedzie Ave & Archer Ave,19.7578125,22.347222222222221,16.428571428571431,18,14,12,20,32
Public Rack - Fullerton Ave & Narragansett Ave,20.1859375,13.277272727272727,23.804761904761904,11,21,32,0,32
Phillips Ave & 83rd St,28.236979166666668,41.54375,14.930208333333333,16,16,7,25,32
Archer Ave & 43rd St,17.757812500000004,7.2197916666666666,28.295833333333334,16,16,32,0,32
Mayfield Ave & Roosevelt Rd,30.488541666666666,33.461666666666659,25.533333333333328,20,12,22,10,32
Public Rack - Cicero Ave & Wrightwood Ave,12.653645833333334,15.065151515151516,11.390476190476193,11,21,32,0,32
Nordica & Medill,14.388020833333334,15.536363636363639,11.861666666666668,22,10,32,0,32
Public Rack - Kimball Ave & Carmen Ave,13.017708333333335,15.749999999999998,11.775757575757577,10,22,32,0,32
Public Rack - Menard Ave & Dakin St - midblock,12.466145833333334,12.897999999999998,10.923809523809524,25,7,32,0,32
Bennett Ave & 79th St,34.378494623655918,26.185,49.275757575757581,20,11,3,28,31
Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,9.1311827956989227,8.5801282051282044,11.996666666666666,26,5,31,0,31
Rainbow Beach,29.979569892473119,34.2125,22.283333333333335,20,11,1,30,31
State St & 45th St,24.586559139784946,26.836904761904762,22.733333333333334,14,17,7,24,31
Leamington Ave & Hirsch St,32.389444444444443,35.787681159420295,21.223809523809521,23,7,21,9,30
California Ave & 29th St,11.197222222222225,10.703508771929824,12.05,19,11,30,0,30
Harding Ave & Chicago Ave,13.416666666666666,13.473684210526317,13.318181818181817,19,11,10,20,30
Augusta Blvd & Laramie Ave,8.4727777777777771,7.784523809523809,18.108333333333334,28,2,30,0,30
Pulaski Rd & 54th St,9.45,11.978125,6.338461538461539,16,13,24,5,29
Public Rack - Forest Glen Station ,20.621264367816092,21.074509803921568,19.979166666666664,17,12,29,0,29
Sacramento Ave & Pershing Rd,15.646551724137931,16.140151515151516,14.095238095238095,22,7,29,0,29
Major Ave & Bloomingdale Ave,8.20919540229885,6.7724358974358978,20.661111111111108,26,3,29,0,29
Public Rack - Kostner & Peterson,17.691954022988508,11.941666666666666,18.117901234567903,2,27,29,0,29
Archer Ave & Homan Ave,12.740476190476189,19.106666666666666,5.3948717948717952,15,13,12,16,28
Maryland Ave & 104th St,8.0446428571428577,6.8626666666666667,17.894444444444446,25,3,28,0,28
Kilbourn & Roscoe,20.205357142857135,24.893939393939391,17.171568627450981,11,17,28,0,28
Public Rack - Norwood Park Station ,9.4946428571428569,7.41875,10.325,8,20,28,0,28
Public Rack - Keating & Peterson,23.419642857142865,15.579166666666667,24.726388888888891,4,24,28,0,28
Public Rack - Pulaski Rd & Fullerton Ave,9.78095238095238,7.9458333333333337,11.157291666666667,12,16,28,0,28
Public Rack - Nordica & Archer,17.555357142857144,17.360833333333336,18.041666666666668,20,8,28,0,28
Laramie Ave & Gladys Ave,24.046428571428567,26.860784313725492,19.696969696969695,17,11,9,19,28
Monitor Ave & Division St,19.8641975308642,18.243939393939396,20.978125,11,16,13,14,27
Public Rack - Langley Ave & Oakwood Blvd,11.325308641975308,10.861764705882353,12.113333333333333,17,10,27,0,27
Public Rack - Central & Leland,13.413580246913579,15.466666666666667,12.205882352941178,10,17,27,0,27
Avenue L & 114th St,10.108024691358024,8.8789855072463766,17.175,23,4,27,0,27
Bloomingdale Ave & Harlem Ave,20.556790123456789,18.679166666666667,25.921428571428571,20,7,27,0,27
Homan Ave & 65th St,12.270987654320987,12.270987654320987,,27,0,27,0,27
Public Rack - Imlay & Milwaukee,22.113580246913578,23.486805555555556,11.127777777777776,24,3,27,0,27
Public Rack - Western Ave & 110th St,11.392948717948718,19.373333333333335,9.492857142857142,5,21,26,0,26
Public Rack - 4810 Keeler Ave,12.498717948717948,10.795238095238094,13.126315789473685,7,19,26,0,26
South Chicago Ave & 83rd St,22.666666666666668,23.78717948717949,21.54615384615385,13,13,9,17,26
